ciudad,dia_semana,nombre_dia,hora,CO,NO2,O3,PM25,SO2
CDMX,6,Sunday,20,0.3415472750897519,0.019481228324167117,0.026714330049430822,15.899639060926027,0.0020008357323940797
CDMX,6,Sunday,21,0.35405553302589077,0.02064392695354849,0.022992161188519735,15.775975673750219,0.0021422213452892435
CDMX,6,Sunday,22,0.3534162237405057,0.021093029820556886,0.020335586513043652,15.68005795510822,0.0024461454831647025
CDMX,6,Sunday,23,0.33287893927732815,0.02055820954791822,0.01868528656010686,15.613565397951186,0.002606153841092189
Guadalajara,0,Monday,0,0.7397917968989397,0.013366773005498496,0.019602653674082246,24.076068895643363,0.002244217136692865
Guadalajara,0,Monday,1,0.6382185603971319,0.011406878306878308,0.01961623153766011,23.41527165932452,0.002225383341038681
Guadalajara,0,Monday,2,0.6059449806949807,0.010768037518037519,0.01885311025311025,22.17113475177305,0.002134733780243489
Guadalajara,0,Monday,3,0.5968874027088313,0.0104928983714698,0.017652909542195255,22.524151849581035,0.002142076976421637
Guadalajara,0,Monday,4,0.6223685113685113,0.012182101359062144,0.015621621621621623,22.518588579499596,0.0021406168130682695
Guadalajara,0,Monday,5,0.7395645339216768,0.01565580550401979,0.01195021296807011,24.533176957223567,0.0022204519186315302
Guadalajara,0,Monday,6,1.0271387509958938,0.020457817975675117,0.008116711098853957,29.34806484295846,0.0025067306210510096
Guadalajara,0,Monday,7,1.4081180364037507,0.024083846114203257,0.0064065529815529815,33.83536622276029,0.002908050161812298
Guadalajara,0,Monday,8,1.3340711527854385,0.02495967326324469,0.009401843169700313,39.23654710811363,0.0031931204026325976
Guadalajara,0,Monday,9,0.9610515415140416,0.02197149556792414,0.017445775877918734,38.74983789260385,0.003012995552488306
Guadalajara,0,Monday,10,0.7337271825396826,0.01777064780457638,0.02765944107372679,31.58633232016211,0.0027115903688367457
Guadalajara,0,Monday,11,0.6261712018140589,0.014046369305297879,0.037694041490470065,24.8493842364532,0.0025346278317152104
Guadalajara,0,Monday,12,0.5616561660561661,0.011060912698412698,0.045929437090151376,21.407183908045976,0.0023899988497814587
Guadalajara,0,Monday,13,0.5380300824175824,0.009737963821892393,0.05149487344487344,19.51222803776683,0.0022914404570201674
Guadalajara,0,Monday,14,0.5194417735042735,0.008900891568748712,0.05410551265551265,19.378355911330047,0.0022147323824860056
Guadalajara,0,Monday,15,0.5147191697191696,0.00842346423417852,0.05419598424955568,19.200271962233167,0.002148845947396672
Guadalajara,0,Monday,16,0.5244343101343101,0.008835088126159555,0.05192648464791322,19.81831113801453,0.002153709454796411
Guadalajara,0,Monday,17,0.5612434577434579,0.010553161719233147,0.04687468131396703,20.385184624697334,0.002162182154415164
Guadalajara,0,Monday,18,0.7099182970345761,0.01568103999175428,0.03683219954648526,22.53794832826748,0.002269620596205962
Guadalajara,0,Monday,19,0.8795051987203151,0.02086164192949907,0.02727701476987191,26.437876070930464,0.002447882307394503
Guadalajara,0,Monday,20,0.9263735080595545,0.02263234384662956,0.022473550591407734,29.5929617453676,0.0025767247386759584
Guadalajara,0,Monday,21,0.8892546757721176,0.02169423830138116,0.02068477661334804,31.93001013171226,0.0026226616337591945
Guadalajara,0,Monday,22,0.8252425864402609,0.0191063801278087,0.020464179996322853,29.622915410890094,0.0026605826558265583
Guadalajara,0,Monday,23,0.750515811965812,0.01635657081014224,0.020310558006986577,27.129156662665068,0.002554976612222989
Guadalajara,1,Tuesday,0,0.6712402998236332,0.013980249507210293,0.02020876984126984,25.838933531746033,0.0023105425824175825
Guadalajara,1,Tuesday,1,0.5977304019947698,0.012109331966782298,0.019973617216117217,23.282437888198757,0.002295270528083028
Guadalajara,1,Tuesday,2,0.5810361552028219,0.011405194805194805,0.019265819597069595,23.444432918395574,0.0021962759462759466
Guadalajara,1,Tuesday,3,0.5876712126740862,0.011278450319521748,0.018013954517704517,23.727889745109664,0.0021859222374847375
Guadalajara,1,Tuesday,4,0.6173213221431612,0.013058493094207379,0.01593296855921856,24.493929065402096,0.002246546855921856
Guadalajara,1,Tuesday,5,0.7208563218390804,0.016645900329828902,0.012356846764346764,26.618133768030035,0.002359140338827839
Guadalajara,1,Tuesday,6,0.999781898072128,0.020819395485466914,0.008452838827838828,31.151587301587302,0.002622369123931624
Guadalajara,1,Tuesday,7,1.4008501489995742,0.024743009173366318,0.006426684981684982,37.12752914443786,0.0030804563492063492
Guadalajara,1,Tuesday,8,1.3437591376269538,0.02547183570397856,0.009392304639804639,42.05872348939576,0.003463188721001221
Guadalajara,1,Tuesday,9,0.9884342881469318,0.022793197278911565,0.017739247557997558,42.32305922368948,0.003358812194749695
Guadalajara,1,Tuesday,10,0.7559730432402847,0.018270732838589984,0.028358558353098584,35.20460618846695,0.002926738018925519
Guadalajara,1,Tuesday,11,0.6334827130085752,0.014640842094413523,0.03833664477285167,28.382897669706182,0.002611649114774115
Guadalajara,1,Tuesday,12,0.5778929331630481,0.012048026180169038,0.047004734537493154,23.436560283687943,0.002421160810602558
Guadalajara,1,Tuesday,13,0.5453737332112332,0.010293202432488147,0.05287736726874658,21.28127017756255,0.0023214808362369338
Guadalajara,1,Tuesday,14,0.5213030982905984,0.008916254380540094,0.055262181475399866,20.3181032750653,0.0021879074719318623
Guadalajara,1,Tuesday,15,0.5115390567765568,0.008484657802514946,0.05459417381256462,20.026775539275537,0.0021328459701032516
Guadalajara,1,Tuesday,16,0.5245749847374848,0.008820341166769738,0.05197870674451135,19.69125633232016,0.0021372534288796427
Guadalajara,1,Tuesday,17,0.5650619963369964,0.010574680478251906,0.04688484613513349,21.35641756702681,0.002109500693481276
Guadalajara,1,Tuesday,18,0.712109996947497,0.015065061327561328,0.03712663139329806,22.45286819369098,0.002182701494837417
Guadalajara,1,Tuesday,19,0.8823364926739927,0.020190434961863533,0.027515544608648055,26.623549419767905,0.002337577053475112
Guadalajara,1,Tuesday,20,0.9006959249084249,0.021193225623582765,0.022765939913641065,29.047463985594238,0.002521871628910464
Guadalajara,1,Tuesday,21,0.8737058302808303,0.019968251391465675,0.021011590038314175,29.297261904761907,0.0025215325936199726
