ciudad,contaminante,fecha,anio,mes,dia_semana,nombre_dia,semana,estacion_anio,valor
CDMX,CO,2019-09-21,2019,9,5,Saturday,38,Otoño,0.23111001317523058
CDMX,CO,2019-09-22,2019,9,6,Sunday,38,Otoño,0.2232631326575426
CDMX,CO,2019-09-23,2019,9,0,Monday,39,Otoño,0.28265398550724635
CDMX,CO,2019-09-24,2019,9,1,Tuesday,39,Otoño,0.3760869565217391
CDMX,CO,2019-09-25,2019,9,2,Wednesday,39,Otoño,0.5157016594516595
CDMX,CO,2019-09-26,2019,9,3,Thursday,39,Otoño,0.4484878863826232
CDMX,CO,2019-09-27,2019,9,4,Friday,39,Otoño,0.2666342940685046
CDMX,CO,2019-09-28,2019,9,5,Saturday,39,Otoño,0.30925770308123246
CDMX,CO,2019-09-29,2019,9,6,Sunday,39,Otoño,0.2390371762740184
CDMX,CO,2019-09-30,2019,9,0,Monday,40,Otoño,0.3192559523809524
CDMX,CO,2019-10-01,2019,10,1,Tuesday,40,Otoño,0.4191995614035087
CDMX,CO,2019-10-02,2019,10,2,Wednesday,40,Otoño,0.3070542380324989
CDMX,CO,2019-10-03,2019,10,3,Thursday,40,Otoño,0.28118961352657007
CDMX,CO,2019-10-04,2019,10,4,Friday,40,Otoño,0.30867698726394377
CDMX,CO,2019-10-05,2019,10,5,Saturday,40,Otoño,0.2366017512077295
CDMX,CO,2019-10-06,2019,10,6,Sunday,40,Otoño,0.2138888888888889
CDMX,CO,2019-10-07,2019,10,0,Monday,41,Otoño,0.2172739624505929
CDMX,CO,2019-10-08,2019,10,1,Tuesday,41,Otoño,0.23154644268774704
CDMX,CO,2019-10-09,2019,10,2,Wednesday,41,Otoño,0.2551070095363574
CDMX,CO,2019-10-10,2019,10,3,Thursday,41,Otoño,0.3498839324926281
CDMX,CO,2019-10-11,2019,10,4,Friday,41,Otoño,0.3570138888888889
CDMX,CO,2019-10-12,2019,10,5,Saturday,41,Otoño,0.20612103174603177
CDMX,CO,2019-10-13,2019,10,6,Sunday,41,Otoño,0.29060881370091896
CDMX,CO,2019-10-14,2019,10,0,Monday,42,Otoño,0.3728425229741019
CDMX,CO,2019-10-15,2019,10,1,Tuesday,42,Otoño,0.40471380471380475
CDMX,CO,2019-10-16,2019,10,2,Wednesday,42,Otoño,0.302576788291074
CDMX,CO,2019-10-17,2019,10,3,Thursday,42,Otoño,0.3981628787878788
CDMX,CO,2019-10-18,2019,10,4,Friday,42,Otoño,0.45400432900432897
CDMX,CO,2019-10-19,2019,10,5,Saturday,42,Otoño,0.4236742424242424
CDMX,CO,2019-10-20,2019,10,6,Sunday,42,Otoño,0.2695075757575757
CDMX,CO,2019-10-21,2019,10,0,Monday,43,Otoño,0.44184523809523807
CDMX,CO,2019-10-22,2019,10,1,Tuesday,43,Otoño,0.2995031952174809
CDMX,CO,2019-10-23,2019,10,2,Wednesday,43,Otoño,0.2652958152958153
CDMX,CO,2019-10-24,2019,10,3,Thursday,43,Otoño,0.41074404761904765
CDMX,CO,2019-10-25,2019,10,4,Friday,43,Otoño,0.47976869256474525
CDMX,CO,2019-10-26,2019,10,5,Saturday,43,Otoño,0.4251785714285714
CDMX,CO,2019-10-27,2019,10,6,Sunday,43,Otoño,0.45377192982456144
CDMX,CO,2019-10-28,2019,10,0,Monday,44,Otoño,0.6590823463888479
CDMX,CO,2019-10-29,2019,10,1,Tuesday,44,Otoño,0.4043421052631579
CDMX,CO,2019-10-30,2019,10,2,Wednesday,44,Otoño,0.5069246031746032
CDMX,CO,2019-10-31,2019,10,3,Thursday,44,Otoño,0.3297123015873016
CDMX,CO,2019-11-01,2019,11,4,Friday,44,Otoño,0.32765151515151514
CDMX,CO,2019-11-02,2019,11,5,Saturday,44,Otoño,0.345533483329536
CDMX,CO,2019-11-03,2019,11,6,Sunday,44,Otoño,0.2696344396344396
CDMX,CO,2019-11-04,2019,11,0,Monday,45,Otoño,0.5558207070707071
CDMX,CO,2019-11-05,2019,11,1,Tuesday,45,Otoño,0.5030853174603175
CDMX,CO,2019-11-06,2019,11,2,Wednesday,45,Otoño,0.33928571428571425
CDMX,CO,2019-11-07,2019,11,3,Thursday,45,Otoño,0.3299171539961014
CDMX,CO,2019-11-08,2019,11,4,Friday,45,Otoño,0.22659252297410193
CDMX,CO,2019-11-09,2019,11,5,Saturday,45,Otoño,0.2045909240889338
CDMX,CO,2019-11-10,2019,11,6,Sunday,45,Otoño,0.3958333333333333
CDMX,CO,2019-11-11,2019,11,0,Monday,46,Otoño,0.4912207602339181
CDMX,CO,2019-11-12,2019,11,1,Tuesday,46,Otoño,0.2858134920634921
CDMX,CO,2019-11-13,2019,11,2,Wednesday,46,Otoño,0.3885329643553328
CDMX,CO,2019-11-14,2019,11,3,Thursday,46,Otoño,0.38150269976411616
CDMX,CO,2019-11-15,2019,11,4,Friday,46,Otoño,0.31789488602458527
