ciudad,fecha,anio,mes,dia_semana,nombre_dia,semana,estacion_anio,CO,NO2,O3,PM25,SO2
Guadalajara,2021-08-11,2021,8,2,Wednesday,32,Verano,0.5753571428571429,0.015666666666666666,0.021279761904761902,,0.0012430555555555556
Guadalajara,2021-08-12,2021,8,3,Thursday,32,Verano,0.5444444444444444,0.017374999999999998,0.023451388888888886,19.130434782608695,0.0011666666666666668
Guadalajara,2021-08-13,2021,8,4,Friday,32,Verano,0.5433928571428571,0.020305555555555556,0.027101190476190473,13.833333333333334,0.001090277777777778
Guadalajara,2021-08-14,2021,8,5,Saturday,32,Verano,0.5119047619047619,0.014258333333333333,0.02823214285714286,13.166666666666666,0.0011597222222222224
Guadalajara,2021-08-15,2021,8,6,Sunday,32,Verano,0.4807142857142857,0.01240625,0.022678571428571426,12.717391304347826,0.0012986111111111113
Guadalajara,2021-08-16,2021,8,0,Monday,33,Verano,0.5132142857142857,0.017197916666666667,0.02568452380952381,15.708333333333334,0.001
Guadalajara,2021-08-17,2021,8,1,Tuesday,33,Verano,0.4994642857142857,0.01813888888888889,0.02782738095238095,12.636363636363637,0.0014375000000000002
Guadalajara,2021-08-18,2021,8,2,Wednesday,33,Verano,0.4910714285714286,0.019625,0.02923809523809524,19.645833333333332,0.0010166666666666668
Guadalajara,2021-08-19,2021,8,3,Thursday,33,Verano,0.5430357142857143,0.017925,0.028274999999999998,17.5625,0.0012333333333333335
Guadalajara,2021-08-20,2021,8,4,Friday,33,Verano,0.5218229166666667,0.015716666666666667,0.025812500000000002,17.347826086956523,0.0012333333333333335
Guadalajara,2021-08-21,2021,8,5,Saturday,33,Verano,0.4957738095238095,0.011239583333333332,0.020555555555555556,,0.0008958333333333334
Guadalajara,2021-08-22,2021,8,6,Sunday,33,Verano,0.4697395833333333,0.007979166666666667,0.017797619047619048,9.458333333333334,0.0010333333333333334
Guadalajara,2021-08-23,2021,8,0,Monday,34,Verano,0.5171875,0.012916666666666667,0.018232142857142856,13.857142857142858,0.0011354166666666667
Guadalajara,2021-08-24,2021,8,1,Tuesday,34,Verano,0.45148809523809524,0.015291666666666667,0.02022916666666667,18.666666666666668,0.00121875
Guadalajara,2021-08-25,2021,8,2,Wednesday,34,Verano,0.49577380952380956,0.012933333333333333,0.015944444444444445,15.772727272727273,0.0014062500000000002
Guadalajara,2021-08-26,2021,8,3,Thursday,34,Verano,0.46339285714285716,0.01240625,0.017104166666666667,15.0625,0.0007812499999999999
Guadalajara,2021-08-27,2021,8,4,Friday,34,Verano,0.46327380952380953,0.0101,0.016197916666666666,21.291666666666668,0.0012916666666666667
Guadalajara,2021-08-28,2021,8,5,Saturday,34,Verano,0.46317708333333335,0.009138888888888889,0.00963095238095238,,0.001125
Guadalajara,2021-08-29,2021,8,6,Sunday,34,Verano,0.443125,0.009041666666666667,0.013333333333333334,,0.0014166666666666668
Guadalajara,2021-08-30,2021,8,0,Monday,35,Verano,0.5681944444444444,0.012875,0.01924404761904762,,0.000986111111111111
Guadalajara,2021-08-31,2021,8,1,Tuesday,35,Verano,0.5504166666666667,0.011927083333333333,0.013398809523809523,11.136363636363637,0.0013750000000000001
Guadalajara,2021-09-01,2021,9,2,Wednesday,35,Otoño,0.6190972222222223,0.01378125,0.013319444444444445,8.761904761904763,0.0019166666666666666
Guadalajara,2021-09-02,2021,9,3,Thursday,35,Otoño,0.6385,0.017108333333333333,0.018493055555555558,,0.0016111111111111111
Guadalajara,2021-09-03,2021,9,4,Friday,35,Otoño,0.7033333333333335,0.018375,0.015666666666666666,,0.0017083333333333334
